yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
94892023,9489,2023,MO0040300,MO0040300,,N,N,,I,MARTINSBURG,MARTINSBURG,Martinsburg,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,259,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2022-03-01,,,,,N,AUDRAIN,Not Specified,Y,Y,Y
94902023,9490,2023,MO0040400,MO0040400,,N,N,,I,MEXICO,MEXICO,Mexico,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,11526,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2005-10-01,2021-01-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,AUDRAIN,Not Specified,Y,Y,Y
94922023,9492,2023,MO0050000,MO0050000,,N,N,,I,BARRY,BARRY,Barry,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,21435,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,13,6,19,4,7,11,0.8,1.4,2005-10-01,2020-09-01,2020-09-01,2020-12-01,2020-12-01,2020-12-01,N,BARRY,Not Specified,Y,Y,Y
94932023,9493,2023,MO0050100,MO0050100,,N,N,,I,CASSVILLE,CASSVILLE,Cassville,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,3224,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,0,1,1,3.1,3.4,2005-10-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,BARRY,Not Specified,Y,Y,Y
94942023,9494,2023,MO0050200,MO0050200,,N,N,,I,MONETT,MONETT,Monett,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,9879,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,21,3,24,2,3,5,2.3,2.9,2005-10-01,2020-12-01,2020-12-01,2021-01-01,2021-01-01,2021-01-01,N,"BARRY, LAWRENCE",Not Specified,Y,Y,Y
94952023,9495,2023,MO0050300,MO0050300,,N,N,,I,EXETER,EXETER,Exeter,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,744,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0.0,0.0,2005-10-01,2021-01-01,,,,,N,BARRY,Not Specified,Y,Y,Y
94972023,9497,2023,MO0050500,MO0050500,,N,N,,I,SELIGMAN,SELIGMAN,Seligman,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,877,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,2.3,2.3,2005-10-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,BARRY,Not Specified,Y,Y,Y
94982023,9498,2023,MO0050700,MO0050700,,N,N,,I,WASHBURN,WASHBURN,Washburn,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,409,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0.0,0.0,2005-10-01,2022-01-01,2023-01-01,2023-01-01,,2023-01-01,N,BARRY,Not Specified,Y,Y,Y
95012023,9501,2023,MO0060000,MO0060000,,N,N,,I,BARTON,BARTON,Barton,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,6801,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,6,4,10,0,2,2,0.9,1.8,2005-10-01,2020-02-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,N,BARTON,Not Specified,Y,Y,Y
95022023,9502,2023,MO0060100,MO0060100,,N,N,,I,LAMAR,LAMAR,Lamar,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,4307,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,0,11,1,3,4,2.8,3.5,2005-10-01,2020-01-01,2020-01-01,2020-10-01,2020-10-01,2020-10-01,N,BARTON,Not Specified,Y,Y,Y
95042023,9504,2023,MO0060900,MO0060900,,N,N,,I,LIBERAL,LIBERAL,Liberal,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,639,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,3.1,3.1,2005-10-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,N,BARTON,Not Specified,Y,Y,Y
95052023,9505,2023,MO0070000,MO0070000,,N,N,,I,BATES,BATES,Bates,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,8862,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,19,19,38,2,17,19,2.4,6.4,2005-10-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,N,BATES,"Kansas City, MO-KS",Y,Y,Y
95062023,9506,2023,MO0070100,MO0070100,,N,N,,I,ADRIAN,ADRIAN,Adrian,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1752,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.9,2.9,2005-10-01,2021-01-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,N,BATES,"Kansas City, MO-KS",Y,Y,Y
95072023,9507,2023,MO0070200,MO0070200,,N,N,,I,BUTLER,BUTLER,Butler,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,4259,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,2,10,0,3,3,1.9,3.1,2005-10-01,2019-12-01,2019-12-01,2020-04-01,2020-04-01,2020-04-01,N,BATES,"Kansas City, MO-KS",Y,Y,Y
95082023,9508,2023,MO0070400,MO0070400,,N,N,,I,RICH HILL,RICH HILL,Rich Hill,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1249,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.6,1.6,2005-10-01,2021-01-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,N,BATES,"Kansas City, MO-KS",Y,Y,Y
95092023,9509,2023,MO0080000,MO0080000,,N,N,,I,BENTON,BENTON,Benton,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,15935,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,12,1,13,2,2,4,0.9,1.1,2005-10-01,2017-10-01,2017-10-01,2020-03-01,2020-03-01,2020-03-01,N,BENTON,Not Specified,Y,Y,Y
95102023,9510,2023,MO0080100,MO0080100,,N,N,,I,COLE CAMP,COLE CAMP,Cole Camp,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1172,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,2.6,2.6,2005-10-01,2021-01-01,,,,,N,BENTON,Not Specified,Y,Y,Y
95112023,9511,2023,MO0080200,MO0080200,,N,N,,I,LINCOLN,LINCOLN,Lincoln,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1208,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.7,1.7,2005-10-01,2020-02-01,2020-02-01,2020-03-01,2020-03-01,2020-03-01,N,BENTON,Not Specified,Y,Y,Y
95122023,9512,2023,MO0080300,MO0080300,,N,N,,I,WARSAW,WARSAW,Warsaw,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,2340,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,6,0,6,2,0,2,3.4,3.4,2005-10-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,BENTON,Not Specified,Y,Y,Y
95132023,9513,2023,MO0090000,MO0090000,,N,N,,I,BOLLINGER,BOLLINGER,Bollinger,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,9138,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,11,4,15,0,2,2,1.2,1.9,2005-10-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,N,BOLLINGER,"Cape Girardeau, MO-IL",Y,Y,Y
95142023,9514,2023,MO0090200,MO0090200,,N,N,,I,MARBLE HILL,MARBLE HILL,Marble Hill,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1369,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,1,1,2,4.4,5.1,2005-10-01,2021-01-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,BOLLINGER,"Cape Girardeau, MO-IL",Y,Y,Y
95152023,9515,2023,MO0100000,MO0100000,,N,N,,I,BOONE,BOONE,Boone,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,47803,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2005-10-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,N,BOONE,"Columbia, MO",Y,Y,Y
95162023,9516,2023,MO0100100,MO0100100,,N,N,,I,CENTRALIA,CENTRALIA,Centralia,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,4739,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2019-10-01,2019-10-01,2020-05-01,2020-05-01,2020-05-01,N,BOONE,"Columbia, MO",Y,Y,Y
95172023,9517,2023,MO0100200,MO0100200,,N,N,,I,COLUMBIA,COLUMBIA,Columbia,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,129602,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,136,23,159,13,25,38,1.1,1.5,2005-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-01,2019-10-01,N,BOONE,"Columbia, MO",Y,Y,Y
95192023,9519,2023,MO0100400,MO0100400,,N,N,,I,UNIV OF MO: COLUMBIA,UNIV OF MO: COLUMBIA,University of Missouri:,Columbia,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,University or College,0,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,2005-10-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,2020-02-01,N,BOONE,"Columbia, MO",Y,Y,Y
95202023,9520,2023,MO0100500,MO0100500,,N,N,,I,ASHLAND,ASHLAND,Ashland,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,4854,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2020-02-01,2020-02-01,2020-05-01,2020-05-01,2020-05-01,N,BOONE,"Columbia, MO",Y,Y,Y
95222023,9522,2023,MO0110000,MO0110000,,N,N,,I,BUCHANAN,BUCHANAN,Buchanan,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,12262,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,N,,,,,,,,,2005-10-01,2018-03-01,2018-03-01,2019-02-01,2018-04-01,2018-04-01,N,BUCHANAN,"St. Joseph, MO-KS",Y,Y,Y
95232023,9523,2023,MO0110100,MO0110100,,N,N,,I,ST. JOSEPH,ST. JOSEPH,St. Joseph,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,69925,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,N,,,,,,,,,2005-10-01,2018-02-01,2018-02-01,2019-02-01,2018-03-01,2018-03-01,N,BUCHANAN,"St. Joseph, MO-KS",Y,Y,Y
95252023,9525,2023,MO0111100,MO0111100,,N,N,,I,MO WESTERN STATE UNIVERS,MO WESTERN STATE UNIVERS,Missouri Western State University,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,University or College,0,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,5,1,6,0,0,2005-10-01,2018-03-01,2018-03-01,2019-02-01,2018-04-01,2018-04-01,N,BUCHANAN,"St. Joseph, MO-KS",Y,Y,Y
95262023,9526,2023,MO0120000,MO0120000,,N,N,,I,BUTLER,BUTLER,Butler,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,25556,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,31,17,48,1,13,14,1.3,2.4,2005-10-01,2019-12-01,2019-12-01,2019-12-01,2019-12-01,2019-12-01,N,BUTLER,Not Specified,Y,Y,Y
95272023,9527,2023,MO0120200,MO0120200,,N,N,,I,POPLAR BLUFF,POPLAR BLUFF,Poplar Bluff,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,16248,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2005-10-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,BUTLER,Not Specified,Y,Y,Y
95302023,9530,2023,MO0130000,MO0130000,,N,N,,I,CALDWELL,CALDWELL,Caldwell,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,6798,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,,,,,,,,,2005-10-01,2017-01-01,2017-01-01,2019-03-01,2017-03-01,2017-03-01,N,CALDWELL,"Kansas City, MO-KS",Y,Y,Y
95332023,9533,2023,MO0130300,MO0130300,,N,N,,I,HAMILTON,HAMILTON,Hamilton,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1690,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2005-10-01,2019-11-01,2019-11-01,2020-02-01,2020-02-01,2020-02-01,N,CALDWELL,"Kansas City, MO-KS",Y,Y,Y
95352023,9535,2023,MO0140000,MO0140000,,N,N,,I,CALLAWAY,CALLAWAY,Callaway,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,25765,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,34,9,43,4,9,13,1.5,2.2,2005-10-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,N,CALLAWAY,"Jefferson City, MO",Y,Y,Y
95362023,9536,2023,MO0140100,MO0140100,,N,N,,I,AUXVASSE,AUXVASSE,Auxvasse,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,1011,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0.0,0.0,2005-10-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,CALLAWAY,"Jefferson City, MO",Y,Y,Y
95372023,9537,2023,MO0140300,MO0140300,,N,N,,I,FULTON,FULTON,Fulton,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,12766,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2005-10-01,2020-08-01,2020-08-01,2020-10-01,2020-10-01,2020-10-01,N,CALLAWAY,"Jefferson City, MO",Y,Y,Y
95392023,9539,2023,MO0140500,MO0140500,,N,N,,I,HOLTS SUMMIT,HOLTS SUMMIT,Holts Summit,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,5457,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,1,9,0,1,1,1.5,1.8,2005-10-01,2020-02-01,2020-02-01,2020-03-01,2020-03-01,2020-03-01,N,CALLAWAY,"Jefferson City, MO",Y,Y,Y
95412023,9541,2023,MO0150000,MO0150000,,N,N,,I,CAMDEN,CAMDEN,Camden,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,County,34885,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,N,,,,,,,,,2005-10-01,2019-02-01,2019-02-01,2019-02-01,2019-02-01,2019-02-01,N,CAMDEN,Not Specified,Y,Y,Y
95422023,9542,2023,MO0150100,MO0150100,,N,N,,I,CAMDENTON,CAMDENTON,Camdenton,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,4085,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2016-10-01,2016-10-01,2019-02-01,2016-11-01,2016-11-01,N,CAMDEN,Not Specified,Y,Y,Y
95432023,9543,2023,MO0150200,MO0150200,,N,N,,I,OSAGE BEACH,OSAGE BEACH,Osage Beach,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,4885,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2005-10-01,2019-03-01,2019-03-01,2019-03-01,2019-03-01,2019-03-01,N,"CAMDEN, MILLER",Not Specified,Y,Y,Y
95442023,9544,2023,MO0150600,MO0150600,,N,N,,I,LINN CREEK,LINN CREEK,Linn Creek,,A,28,Missouri,MO,MO,4,West North Central,2,Midwest,Region II,City,224,23376,MOUCR0001,Missouri State Highway Patrol UCR Program Office CRID/CJIS Section,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,1,0,1,13.4,13.4,2005-10-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,CAMDEN,Not Specified,Y,Y,Y
